Global warming,Public speaking,writing skills,Acting,Own business,Risk,Event maNot Applicablegement,Gaming,Robotics,Social,Photography,Sport,Suggestion
1,1,1,1,1,1,0,0,1,0,0,0,"IUCCS, IUDLS, IUDS, IUES"
1,1,1,1,1,1,0,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS, IUSS"
1,1,1,1,1,1,0,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUPS"
1,1,1,1,1,1,0,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUES, IUCSR, IUSS"
1,1,1,1,1,1,0,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUES, IUCSR"
1,1,1,1,1,1,0,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUES, IUPS, IUSS"
1,1,1,1,1,1,0,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUES, IUPS"
1,1,1,1,1,1,0,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUES, IUSS"
1,1,1,1,1,1,0,0,0,0,0,0,"IUCCS, IUDLS, IUDS, IUES"
1,1,1,1,1,0,1,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,1,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS"
1,1,1,1,1,0,1,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUSS"
1,1,1,1,1,0,1,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR"
1,1,1,1,1,0,1,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS, IUSS"
1,1,1,1,1,0,1,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS"
1,1,1,1,1,0,1,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUSS"
1,1,1,1,1,0,1,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS"
1,1,1,1,1,0,1,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,1,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,0,1,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,0,1,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,1,0,1,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,0,1,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,1,0,1,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,1,0,1,1,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,1,0,1,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,1,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,0,1,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,0,1,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,1,0,1,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,0,1,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,1,0,1,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,1,0,1,0,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,1,0,1,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,1,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,1,0,1,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,1,0,1,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,1,0,1,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,1,0,1,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,1,0,1,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,1,0,1,0,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,1,0,0,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,0,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS"
1,1,1,1,1,0,0,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUSS"
1,1,1,1,1,0,0,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR"
1,1,1,1,1,0,0,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUPS, IUSS"
1,1,1,1,1,0,0,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUPS"
1,1,1,1,1,0,0,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUSS"
1,1,1,1,1,0,0,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUGRS"
1,1,1,1,1,0,0,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,0,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,1,0,0,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,1,0,0,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,1,0,0,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,1,0,0,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,1,0,0,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,1,0,0,1,0,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,1,0,0,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,0,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,1,0,0,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,1,0,0,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,1,0,0,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,1,0,0,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,1,0,0,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,1,0,0,0,1,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,1,0,0,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,1,0,0,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,1,0,0,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,1,0,0,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,1,0,0,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,1,0,0,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,1,0,0,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,1,0,0,0,0,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,0,1,1,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,1,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS"
1,1,1,1,0,1,1,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUSS"
1,1,1,1,0,1,1,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR"
1,1,1,1,0,1,1,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS, IUSS"
1,1,1,1,0,1,1,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS"
1,1,1,1,0,1,1,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUSS"
1,1,1,1,0,1,1,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS"
1,1,1,1,0,1,1,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,1,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,1,1,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,1,1,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,1,1,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,1,1,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,1,1,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,1,1,1,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,1,1,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,1,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,1,1,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,1,1,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,1,1,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,1,1,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,1,1,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,1,1,0,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,1,1,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,1,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,1,1,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,1,1,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,1,1,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,1,1,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,1,1,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,1,1,0,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,1,0,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,0,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS"
1,1,1,1,0,1,0,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUSS"
1,1,1,1,0,1,0,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR"
1,1,1,1,0,1,0,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUPS, IUSS"
1,1,1,1,0,1,0,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUPS"
1,1,1,1,0,1,0,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUSS"
1,1,1,1,0,1,0,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUGRS"
1,1,1,1,0,1,0,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,0,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,0,1,0,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,0,1,0,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,0,1,0,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,0,1,0,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,0,1,0,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,0,1,0,1,0,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,0,1,0,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,0,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,0,1,0,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,0,1,0,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,0,1,0,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,0,1,0,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,0,1,0,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,0,1,0,0,1,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,0,1,0,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,0,1,0,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,0,1,0,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,0,1,0,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,0,1,0,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,0,1,0,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,0,1,0,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
1,1,1,1,0,1,0,0,0,0,0,0,"IUCCS, IUDLS, IUDS"
1,1,1,1,0,0,1,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,1,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUPS"
1,1,1,1,0,0,1,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR, IUSS"
1,1,1,1,0,0,1,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUCSR"
1,1,1,1,0,0,1,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS, IUSS"
1,1,1,1,0,0,1,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUPS"
1,1,1,1,0,0,1,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS, IUSS"
1,1,1,1,0,0,1,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUGRS"
1,1,1,1,0,0,1,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,1,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,0,1,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,0,1,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,0,1,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,0,1,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,0,1,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,0,1,1,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,0,1,0,1,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,1,0,1,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,0,1,0,1,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,0,1,0,1,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,0,1,0,1,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,0,1,0,1,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,0,1,0,1,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,0,1,0,1,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,0,1,0,0,1,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,1,0,0,1,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUPS"
1,1,1,1,0,0,1,0,0,1,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR, IUSS"
1,1,1,1,0,0,1,0,0,1,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUCSR"
1,1,1,1,0,0,1,0,0,0,1,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS, IUSS"
1,1,1,1,0,0,1,0,0,0,1,0,"IUCCS, IUDLS, IUDS, IUEventSociety, IUPS"
1,1,1,1,0,0,1,0,0,0,0,1,"IUCCS, IUDLS, IUDS, IUEventSociety, IUSS"
1,1,1,1,0,0,1,0,0,0,0,0,"IUCCS, IUDLS, IUDS, IUEventSociety"
1,1,1,1,0,0,0,1,1,1,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,0,1,1,1,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUPS"
1,1,1,1,0,0,0,1,1,1,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR, IUSS"
1,1,1,1,0,0,0,1,1,1,0,0,"IUCCS, IUDLS, IUDS, IUGRS, IUCSR"
1,1,1,1,0,0,0,1,1,0,1,1,"IUCCS, IUDLS, IUDS, IUGRS, IUPS, IUSS"
1,1,1,1,0,0,0,1,1,0,1,0,"IUCCS, IUDLS, IUDS, IUGRS, IUPS"
1,1,1,1,0,0,0,1,1,0,0,1,"IUCCS, IUDLS, IUDS, IUGRS, IUSS"
1,1,1,1,0,0,0,1,1,0,0,0,"IUCCS, IUDLS, IUDS, IUGRS"
1,1,1,1,0,0,0,1,0,1,1,1,"IUCCS, IUDLS, IUDS, IUCSR, IUPS, IUSS"
1,1,1,1,0,0,0,1,0,1,1,0,"IUCCS, IUDLS, IUDS, IUCSR, IUPS"
1,1,1,1,0,0,0,1,0,1,0,1,"IUCCS, IUDLS, IUDS, IUCSR, IUSS"
1,1,1,1,0,0,0,1,0,1,0,0,"IUCCS, IUDLS, IUDS, IUCSR"
1,1,1,1,0,0,0,1,0,0,1,1,"IUCCS, IUDLS, IUDS, IUPS, IUSS"
1,1,1,1,0,0,0,1,0,0,1,0,"IUCCS, IUDLS, IUDS, IUPS"
1,1,1,1,0,0,0,1,0,0,0,1,"IUCCS, IUDLS, IUDS, IUSS"
